"CONCEPTO","CATEGORIA","UNIDAD","ULTIMO_PRECIO","FECHA_ULTIMO_PRECIO"
"ACEITE BONA DECKING OIL NEUTRAL","BARNIZ, ACEITE Y PINTURA","LT","500","2026-05-11"
"ACEITE CERA OSMO POLYX3062 SATINADO TRANSPARENTE","BARNIZ, ACEITE Y PINTURA","LT","1971.55","2025-06-06"
"ACEITE LUBRICANTE P/BARRA Y CADENA DE WOODCUTTER","MANTENIMIENTO","LT","",""
"ACEITE LUBRICANTE P/MOTOR A GASOLINA CON MAS DE 100,000 KM  MEMBERS MARK","BARNIZ, ACEITE Y PINTURA","LT","120.34","2026-04-14"
"ACEITE MAFI BLANCO PARA PISO DE MADERA","BARNIZ, ACEITE Y PINTURA","LT","",""
"ACEITE MOBIL RARUS (427 ISO 100) 19 LT","MANTENIMIENTO","CUBETA","3110.68","2025-02-13"
"ACEITE MOTOR HP 2 TIEMPOS 100ML 0781-319-8922 STIHL","MANTENIMIENTO","PZ","36.56","2025-01-29"
"ACEITE MOTOR HP 2 TIEMPOS 100ML 7008-871-0266","MANTENIMIENTO","PZ","",""
"ACEITE MULTIGRADO PARA MOTOR A GASOLINA BARDAHL MÁS DE 100000 KM(946ml C/U) SAE 25w 50 API SL","BARNIZ, ACEITE Y PINTURA","LT","85.72","2025-08-11"
"ACEITE PARA DIFERENCIAL","AUTOMOVILES","LT","",""
"ACEITE PARA TRANSMISION GONHER","AUTOMOVILES","LT","",""
"ACEITE R. ENGRANES AGMA EP5 ISO 220 19LT (CALIBRADORA) 0199","MANTENIMIENTO","CUBETA","1509.66","2023-07-01"
"ACEITE RUBIO MONOCOAT OIL + 2C CHARCOAL 1.3L 1261062824","BARNIZ, ACEITE Y PINTURA","BOTE","4043.46","2026-04-28"
"ACEITE RUBIO MONOCOAT OIL + 2C PURE 1.3L 1366201625","BARNIZ, ACEITE Y PINTURA","BOTE","3044.26","2026-04-28"
